id,doi,type,title,author
4784593630239,,book,Mokslinių Tyrimų Metodologija Ir Metodai: (Edukologija Ir Kiti Socialiniai Mokslai),['K.ęstutis Kardelis']
6708739094372,,book,Easy Writer,['Andrea Lundsford']
